Company Number,Company Name,Company Status,Officer Name,Officer Role,Occupation,Appointed On,Nationality,Country of Residence
5174578,10SQUARED LIMITED,active,"HOLBROUGH, Patrick",director,Manager,08/07/2004,British,United Kingdom
5174578,10SQUARED LIMITED,active,"STEELE, Gary",director,Company Director,11/09/2019,British,England
12562170,3MOS CONSULTING LTD,active,"MO, Chung",director,Engineer,17/04/2020,British,England
10676543,51T LTD,active,"SEYMOUR, Robin",director,Director,17/03/2017,British,England
3061301,A.G. FABRICATIONS LIMITED,active,"CHAMBERS, Garry Paul",director,Company Director,07/04/2006,British,England
13383356,AAI ROBOTICS LTD,active,"IRELAND, Matthew Timothy",director,Software Developer,10/05/2021,British,United Kingdom
12512683,ABZ  CONSULTANCY AND TRAINING LTD,active,"BELATTAR, Abdelaziz, Dr",director,Company Director,11/03/2020,Algerian,United Kingdom
12939003,ACCELERATED IOT SYSTEMS LTD,active,"LOWE, Jason Alan",director,Company Director,08/10/2020,British,England
13039356,ACCUMORE MOBILITY LIMITED,active,"CHAN, Hoi Ki",director,Merchant,24/11/2020,British,Hong Kong
13039356,ACCUMORE MOBILITY LIMITED,active,"LEUNG, Wai Kit",director,Merchant,24/11/2020,British,Hong Kong
14622794,ACHAEMENID TRADING LTD,active,"HOSHYARDEL, Babak",director,Director,27/01/2023,British,England
SC187248,ACOUSTIC REPRODUCTION TECHNOLOGY LIMITED,active,"DUNLOP, Derek William Allan",secretary,N/A,02/08/2007,British,N/A
SC187248,ACOUSTIC REPRODUCTION TECHNOLOGY LIMITED,active,"DUNLOP, Derek William Allan",director,Company Director,01/07/1998,British,Scotland
SC187248,ACOUSTIC REPRODUCTION TECHNOLOGY LIMITED,active,"DUNLOP, Ramsay Peter Baird",director,Company Director,01/07/1998,British,Scotland
8852416,ACTICHECK LTD,active,"GARLAND, William Robert",director,Engineer,20/01/2014,British,United Kingdom
8852416,ACTICHECK LTD,active,"GIBBS, Karl Louis",director,Project Manager,20/01/2014,British,United Kingdom
10982059,ACTIVE TRANSDUCER RESEARCH LIMITED,active,"TURNER, Michael James, Dr",director,Chartered Engineer,26/09/2017,British,United Kingdom
9262094,ACTS NOT FACTS LTD,active,"WEBB, Matthew William",director,Director,13/10/2014,British,England
3546816,ADAMS ELECTRONICS (INTERNATIONAL) LIMITED,active,"ADAMS, Robert Ernest",director,Company Director,01/04/2017,British,United States
3546816,ADAMS ELECTRONICS (INTERNATIONAL) LIMITED,active,"WILLIAMS, Iain",director,Company Director,20/03/2018,British,United Kingdom
9342812,ADAPTALUX LTD,active,"BRENIG-JONES, Martin John",director,Company Director,05/12/2014,British,United Kingdom
9342812,ADAPTALUX LTD,active,"GRANGER, Samuel Edwin",director,Product Designer,05/12/2014,British,England
8197004,ADEPT COMMUNICATIONS SYSTEMS LTD,active,"CASTLE, Michael Frank, Mr.",director,Engineer,31/08/2012,British,United Kingdom
4707114,ADRIAN WOOD ASSOCIATES LIMITED,active,"WOOD, Raija Hellevi",secretary,Nurse,21/03/2003,Finnish,N/A
4707114,ADRIAN WOOD ASSOCIATES LIMITED,active,"WOOD, Alaric Kai",director,Director,06/11/2023,British,United Kingdom
4707114,ADRIAN WOOD ASSOCIATES LIMITED,active,"WOOD, Markus Dariel",director,Director,06/11/2023,British,United Kingdom
4707114,ADRIAN WOOD ASSOCIATES LIMITED,active,"WOOD, Raija Hellevi",director,Nurse,21/03/2003,Finnish,United Kingdom
3535453,ADVANCED DIVE ELECTRONICS LIMITED,active,"HESTER, Lynne Theresa",secretary,N/A,26/03/1998,British,N/A
3535453,ADVANCED DIVE ELECTRONICS LIMITED,active,"HESTER, Nigel Ian",director,Electronic Engineer,26/03/1998,British,England
