Company Number,Company Name,Company Status,Officer Name,Officer Role,Occupation,Appointed On,Nationality,Country of Residence
4784475,21CEC PX PHARM LTD,active,DAVID BLEASDALE,corporate-secretary,N/A,01/11/2010,N/A,N/A
4784475,21CEC PX PHARM LTD,active,"BLEASDALE, Claire Chan, Dr",director,Director,02/06/2003,British,England
13152498,75PHARMA GROUP LIMITED,active,"HAKKINEN, Marko Tapio",director,Director,24/06/2025,Finnish,Finland
13152498,75PHARMA GROUP LIMITED,active,"KOIVUNEN, Tessa",director,Director,24/06/2025,Finnish,Finland
13152498,75PHARMA GROUP LIMITED,active,"MILLS, John",director,Director,24/06/2025,British,United Kingdom
13152498,75PHARMA GROUP LIMITED,active,"NEVALA, Niko Johannes",director,Director,27/06/2023,Finnish,Finland
13152498,75PHARMA GROUP LIMITED,active,"PALL, Sunita",director,Director,24/06/2025,British,United Kingdom
13152498,75PHARMA GROUP LIMITED,active,"RUOKOSTENPOHJA, Pasi Petteri",director,Director,22/01/2021,Finnish,Finland
13118677,ABTI PHARMA LIMITED,active,"SCHILLER, Dominic Christopher",director,Director,07/01/2021,British,United Kingdom
13118677,ABTI PHARMA LIMITED,active,"STOTT, Colin George",director,Director,11/11/2021,British,England
4596349,ACCORD HEALTHCARE LIMITED,active,"MARQUILLES ESCOLA, Roger",secretary,N/A,21/01/2022,N/A,N/A
4596349,ACCORD HEALTHCARE LIMITED,active,"BHAGIA, Pradeep Prabhudas",director,Director,30/09/2021,Indian,India
4596349,ACCORD HEALTHCARE LIMITED,active,"CHUDGAR, Binish Hasmukhbhai",director,Businessman,21/11/2002,Indian,India
4596349,ACCORD HEALTHCARE LIMITED,active,"FORD, Stephen Kelsey",director,Finance Vice President,30/09/2021,British,United Kingdom
4596349,ACCORD HEALTHCARE LIMITED,active,"GADHIA, Jitesh Kishorekumar, Lord",director,Director,29/01/2018,British,United Kingdom
4596349,ACCORD HEALTHCARE LIMITED,active,"GODDARD, John Geoffrey",director,Director,05/10/2017,British,United Kingdom
4596349,ACCORD HEALTHCARE LIMITED,active,"TREDWELL, Paul Sebastian",director,Director,07/06/2019,British,United Kingdom
79585,ACCORD-UK LTD,active,"JAKES, Nadine",secretary,Finance Director,10/10/2008,German,N/A
79585,ACCORD-UK LTD,active,"JAKES, Nadine",director,Executive Director Finance & It,10/10/2008,German,England
79585,ACCORD-UK LTD,active,"SPARROW, Jamie",director,Director,27/10/2023,British,United Kingdom
79585,ACCORD-UK LTD,active,"WILSON, Jonathan Thomas",director,Managing Director Uk,16/07/2009,British,England
8014664,ACE DIRECT LTD,active,"HUSSAIN, Mazahar",director,Pharmacist,02/04/2012,British,England
8014664,ACE DIRECT LTD,active,"JAN, Rakhmat",director,Company Director,02/04/2012,British,England
12847867,ACPC HEALTHCARE UK LTD,active,"CHANDRA, Amreen",director,Director,31/08/2020,Indian,India
12847867,ACPC HEALTHCARE UK LTD,active,"CHANDRA, Prashant",director,Director,31/08/2020,Indian,India
3557692,ACTAVIS HOLDINGS UK II LIMITED,active,"CHARLESWORTH, Stephen Michael",director,Chartered Accountant,29/04/2020,British,United Kingdom
3557692,ACTAVIS HOLDINGS UK II LIMITED,active,"COOPER, Dean Michael",director,Chartered Accountant,12/07/2018,British,United Kingdom
3229919,ACTIVE MEDICAL TECHNOLOGY LIMITED,active,"BOULTON, Paul",secretary,Director,19/08/1996,British,N/A
3229919,ACTIVE MEDICAL TECHNOLOGY LIMITED,active,"BOULTON, Paul",director,Director,19/08/1996,British,England
9680615,ADC HEALTHCARE LIMITED,active,"NAHAR, Kazi Sharmin",director,Manager,10/07/2015,Bangladeshi,United Kingdom
9680615,ADC HEALTHCARE LIMITED,active,"RAHMAN, Khondaker Mirazur, Dr",director,Teaching,10/07/2015,British,England
8425825,ADPHARM LIMITED,active,"BERKES, Ivan",director,Strategy Consultant,01/03/2013,British,England
2760679,ADVANZ PHARMA GENERICS (UK) LIMITED,active,TMF CORPORATE ADMINISTRATION SERVICES LIMITED,corporate-secretary,N/A,16/03/2022,N/A,N/A
2760679,ADVANZ PHARMA GENERICS (UK) LIMITED,active,"FERRY, Melvin Jeremy, Mr.",director,"Vice President, Strategic Finance",06/02/2025,British,England
2760679,ADVANZ PHARMA GENERICS (UK) LIMITED,active,"STICKLER, Andreas",director,Chief Financial Officer,21/01/2022,German,Germany
8717711,ADVENT BIOSERVICES LTD,active,"PIRE, Philippe Thomas George",secretary,N/A,16/05/2022,N/A,N/A
8717711,ADVENT BIOSERVICES LTD,active,"POWERS, Linda Fairing",director,Chairman,03/10/2013,American,United States
14521612,AFT PHARMA UK LIMITED,active,"ATKINSON, Hartley Campbell",director,Pharmaceutical Executive,02/12/2022,British,New Zealand
14521612,AFT PHARMA UK LIMITED,active,"HANSEN, Vivian Edward",director,Pharmaceutical Executive,02/12/2022,New Zealander,New Zealand
14521612,AFT PHARMA UK LIMITED,active,"TASLAQ, Samer, Dr",director,Pharmaceutical Executive,02/12/2022,British,United Kingdom
1165553,AINSWORTHS (LONDON) LIMITED,active,"PINKUS, Anthony Stuart",secretary,N/A,23/05/2003,British,N/A
1165553,AINSWORTHS (LONDON) LIMITED,active,"PINKUS, Anthony Stuart",director,Director,,British,United Kingdom
14632502,AJALA PHARMA LTD,active,"AJALA, Moriam",director,Director,01/02/2023,British,England
6218684,AKD PHARMA LIMITED,active,"COYLE, Karen",secretary,N/A,19/04/2007,Other,N/A
6218684,AKD PHARMA LIMITED,active,"COYLE, Anthony",director,Pharmaceutical Engineer,19/04/2007,British,England
3489885,ALLERGY THERAPEUTICS (UK) LIMITED,active,"CHEESMAN, Karley Charlotte Mouatt",secretary,N/A,13/02/2023,N/A,N/A
3489885,ALLERGY THERAPEUTICS (UK) LIMITED,active,"FURLONG, Shaun Antony",director,"Executive Director, Chief Financial Officer",08/03/2024,British,England
3489885,ALLERGY THERAPEUTICS (UK) LIMITED,active,"LLOBET, Manuel",director,Director,01/10/2009,Spanish,Spain
